spot_at_expiry_rn,strategy_pnl_rn,spot_at_expiry_rw,strategy_pnl_rw
707.0849199280477,-1284.0,713.5019211965399,-1284.0
723.9712258433766,-1284.0,704.7195796701606,-1284.0
807.1524613828268,1616.0,741.9232819444155,-191.6718055584479
738.5339087696927,-530.6091230307256,669.6473913331429,-1284.0
723.9004880351374,-1284.0,729.4459897246694,-1284.0
678.8764497431013,-1284.0,721.6119927828325,-1284.0
732.7086554048029,-1113.1344595197074,839.4691778659123,1616.000000000001
753.9337788731345,1009.3778873134543,714.1726195549379,-1284.0
712.3415709858751,-1284.0,694.784305328355,-1284.0
789.2846419536795,1616.0,784.3273091175578,1616.0000000000005
684.4519264774673,-1284.0,767.1627353439638,1616.0
761.3185126489503,1616.0,766.2723618194427,1616.0
693.9975647206172,-1284.0,786.2256769859581,1616.0000000000005
698.108933738981,-1284.0,687.8204548392376,-1284.0
740.3297637398849,-351.02362601150753,735.444444263281,-839.5555736719043
771.6367079330472,1616.0,717.2645852901916,-1284.0
717.48545004459,-1284.0,712.6779729772246,-1284.0
772.9385571020299,1615.9999999999995,730.271478980571,-1284.0
677.6558774980733,-1284.0,757.6261019276773,1378.6101927677269
725.6759876833127,-1284.0,750.8849123115776,704.4912311577637
742.1796605041754,-166.03394958245553,704.4533190890401,-1284.0
744.0796097548491,23.960975484911614,716.6267971762486,-1284.0
719.5755840621873,-1284.0,779.2147000044766,1615.9999999999995
805.1789942473364,1616.0,768.5947898560426,1616.0
680.3174125821084,-1284.0,746.9135110090236,307.35110090236367
751.9985636248914,815.8563624891403,720.1743430945432,-1284.0
686.168650058921,-1284.0,748.5383384794817,469.8338479481695
735.5328190166038,-830.7180983396247,732.1092189575388,-1173.0781042461185
775.1814415870352,1616.0000000000005,751.3276698286686,748.7669828668604
739.8480955766178,-399.1904423382234,663.5192284067576,-1284.0
757.2926281481958,1345.2628148195831,722.769348688642,-1284.0
739.7541907275196,-408.58092724804146,743.7464686374885,-9.35313625114668
689.2669969099823,-1284.0,758.1052936232898,1426.5293623289754
743.5073733515425,-33.26266484575308,724.1600997105917,-1284.0
756.5203944701975,1268.0394470197516,722.2899465998031,-1284.0
817.9757953224748,1616.0,775.9432251636734,1616.0000000000005
774.2888168961573,1615.9999999999995,736.8498701044891,-699.0129895510872
684.1150718608576,-1284.0,703.1199983695877,-1284.0
