Date,spot,position_open,mtm,cash,equity,rv20,delta_exposure,gamma_exposure,vega_exposure,theta_exposure
2024-12-18,586.280029296875,False,0.0,99505.59997025783,99505.59997025783,0.12841167735407683,0.0,0.0,0.0,0.0
2024-12-19,586.0999755859375,False,0.0,99505.59997025783,99505.59997025783,0.128386748378022,0.0,0.0,0.0,0.0
2024-12-20,591.1500244140625,True,0.0,99505.59997025783,99505.59997025783,0.13078352592231166,0.0,0.0,0.0,0.0
2024-12-23,594.6900024414062,True,40.129585993247474,99505.59997025783,99545.72955625107,0.1321394473049825,-5.697510160042363,-2.4281781769042885,-91.99060023716497,25.040869959917327
2024-12-24,601.2999877929688,True,-100.19377793284576,99505.59997025783,99405.40619232498,0.13749296198980765,-21.37637152090447,-2.355152799901915,-92.06730874739013,28.26326306128064
2024-12-26,601.3400268554688,True,-32.88563430464819,99505.59997025783,99472.71433595318,0.13627180578374493,-21.343028614902863,-2.4082555894848694,-86.0702346758035,28.352813388207824
2024-12-27,595.010009765625,True,57.78766876664321,99505.59997025783,99563.38763902447,0.14109166181297572,-5.80449362193397,-2.4385446312182273,-84.16693368072514,28.699328652125434
2024-12-30,588.219970703125,True,119.12998894640197,99505.59997025783,99624.72995920423,0.14418140050946376,11.588295874951516,-2.4291282521090714,-72.52200234660037,27.831103105661104
2024-12-31,586.0800170898438,True,124.15695280822447,99505.59997025783,99629.75692306604,0.14397502740101215,17.148829058475624,-2.41385063522234,-67.85608903386466,27.000400772290217
2025-01-02,584.6400146484375,True,155.5658737527409,99505.59997025783,99661.16584401057,0.14382676586839935,21.288068507319586,-2.408199202679141,-60.32654562688653,26.588670136952363
2025-01-03,591.9500122070312,True,212.82844420368008,99505.59997025783,99718.42841446151,0.1498938700030925,3.407187193123662,-2.481726176266407,-62.575057133714616,31.94201063306713
2025-01-06,595.3599853515625,True,287.68846081521104,99505.59997025783,99793.28843107304,0.15195506700123018,-4.271666596854795,-2.520507437522304,-52.9785278615923,34.30038630601023
2025-01-07,588.6300048828125,True,289.30598125626045,99505.59997025783,99794.90595151408,0.15591518204689214,12.67336044519075,-2.4307849332027476,-47.44444076014531,33.148556685166064
2025-01-08,589.489990234375,False,0.0,99831.82400496845,99831.82400496845,0.15568184712922897,0.0,0.0,0.0,0.0
2025-01-10,580.489990234375,True,0.0,99831.82400496845,99831.82400496845,0.1635045353736866,0.0,0.0,0.0,0.0
2025-01-13,581.3900146484375,True,118.24659329088121,99831.82400496845,99950.07059825934,0.1601443402543638,1.6909923401798588,-1.9910232047335865,-87.20546426855248,28.189208748167534
2025-01-14,582.1900024414062,True,144.18213993011335,99831.82400496845,99976.00614489857,0.16021705592573304,0.31012477319994347,-2.001544361605307,-84.73230242473444,28.56539328529025
2025-01-15,592.780029296875,True,-111.42963002118194,99831.82400496845,99720.39437494727,0.17510237990104224,-20.567573883688876,-1.914312120070101,-89.08302071860733,35.766152636413324
2025-01-16,591.6400146484375,True,-39.55077740884576,99831.82400496845,99792.2732275596,0.17403198248215043,-18.314347456546788,-1.9478418191469697,-86.02592470146662,35.57137850702824
2025-01-17,597.5800170898438,True,-203.59301904914062,99831.82400496845,99628.23098591932,0.1781178101780775,-29.51148754085637,-1.879102178932985,-83.53633332841565,37.779957103992174
2025-01-21,603.0499877929688,True,5.212864104134951,99831.82400496845,99837.03686907259,0.1422688364566581,-41.59966034112206,-2.122562641733872,-63.14413855729424,28.836489457665248
2025-01-22,606.4400024414062,True,-132.0682666906036,99831.82400496845,99699.75573827785,0.14286914429170164,-48.672474865071834,-2.0844489667692168,-59.97198523259494,29.610887832947537
2025-01-23,609.75,True,-274.0893944977003,99831.82400496845,99557.73461047075,0.14129291313848563,-55.65252386509889,-2.040265056143844,-55.751637849095324,29.51696527012933
2025-01-24,607.969970703125,True,-143.07042655682557,99831.82400496845,99688.75357841163,0.14112848698480748,-52.14217974548403,-2.1471961344213475,-54.57314659920925,30.165979453325782
2025-01-27,599.3699951171875,True,309.3232567443696,99831.82400496845,100141.14726171282,0.14596299599641674,-32.15444855623732,-2.3263884951452014,-47.30294828376787,31.051729985896475
2025-01-28,604.52001953125,True,116.12080771942486,99831.82400496845,99947.94481268789,0.14921261724208698,-44.13815547975843,-2.3686336788771656,-46.68014378209933,34.81072388658282
2025-01-29,601.8099975585938,True,288.9191516197059,99831.82400496845,100120.74315658816,0.14484365489945644,-37.07698724541314,-2.486241013816776,-42.77510060251536,33.09988491523116
2025-01-30,605.0399780273438,True,212.07481180696277,99831.82400496845,100043.89881677541,0.13845969040782688,-44.830434626525644,-2.6922322194827277,-40.896911404321486,33.91713326613078
2025-01-31,601.8200073242188,False,0.0,100204.91778521008,100204.91778521008,0.13940558231834743,0.0,0.0,0.0,0.0
2025-02-03,597.77001953125,False,0.0,100204.91778521008,100204.91778521008,0.14176397380095065,0.0,0.0,0.0,0.0
2025-02-04,601.780029296875,False,0.0,100204.91778521008,100204.91778521008,0.13707394599583764,0.0,0.0,0.0,0.0
2025-02-05,604.219970703125,False,0.0,100204.91778521008,100204.91778521008,0.1363964468903051,0.0,0.0,0.0,0.0
2025-02-06,606.3200073242188,False,0.0,100204.91778521008,100204.91778521008,0.12889060803299285,0.0,0.0,0.0,0.0
2025-02-07,600.77001953125,True,0.0,100204.91778521008,100204.91778521008,0.1343474709035167,0.0,0.0,0.0,0.0
2025-02-10,604.8499755859375,True,184.617376647347,100204.91778521008,100389.53516185744,0.12097515717292612,-6.182950244281255,-2.3992981569542793,-85.98535955835563,21.51349863515962
2025-02-11,605.3099975585938,True,201.08062633943433,100204.91778521008,100405.99841154952,0.12105133282215301,-7.06949160813159,-2.408413484874693,-83.30122661849794,21.71939634112657
2025-02-12,603.3599853515625,True,225.06258348260246,100204.91778521008,100429.98036869269,0.12246827288035295,-2.1682935054353756,-2.399128949335211,-80.14732640805782,21.646979435685385
2025-02-13,609.72998046875,True,257.4378092015394,100204.91778521008,100462.35559441162,0.11167055972260846,-17.144589676679413,-2.479568802271783,-74.01049980093494,19.99820642431945
