contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,relative_spread
SPY260618C00595000,2026-05-06 14:40:56+00:00,595.0,140.0,138.39,141.9,9.0,6.8702292,2.0,1721,0.4752860089111328,True,REGULAR,USD,call,2026-06-18,140.14499999999998,0.02504548860109187
SPY260618C00600000,2026-05-06 14:06:46+00:00,600.0,132.87,133.96,136.69,4.069992,3.1599317,4.0,5080,0.4557549542236329,True,REGULAR,USD,call,2026-06-18,135.325,0.020173656013301237
SPY260618C00605000,2026-05-06 14:40:55+00:00,605.0,130.0,128.72,132.14,12.489998,10.6288805,5.0,2711,0.451726674194336,True,REGULAR,USD,call,2026-06-18,130.43,0.02622096143525253
SPY260618C00610000,2026-05-05 19:37:58+00:00,610.0,118.66,123.93,126.93,0.0,0.0,39.0,1541,0.43243975769042964,True,REGULAR,USD,call,2026-06-18,125.43,0.02391772303276728
SPY260618C00615000,2026-05-06 14:41:57+00:00,615.0,120.13,119.13,122.3,6.659996,5.8693895,36.0,2371,0.4260311303710938,True,REGULAR,USD,call,2026-06-18,120.715,0.026260199643789103
SPY260618C00620000,2026-05-05 19:37:58+00:00,620.0,108.9,113.98,117.46,0.0,0.0,26.0,4817,0.41480077392578124,True,REGULAR,USD,call,2026-06-18,115.72,0.030072589007950137
SPY260618C00625000,2026-05-06 14:38:17+00:00,625.0,110.17,108.99,112.51,8.220001,8.0627775,2.0,1738,0.4011900701904296,True,REGULAR,USD,call,2026-06-18,110.75,0.03178329571106104
SPY260618C00630000,2026-05-06 13:30:00+00:00,630.0,102.36,104.24,106.23,3.050003,3.0711944,5.0,3157,0.3600527862548828,True,REGULAR,USD,call,2026-06-18,105.235,0.018910058440632954
SPY260618C00635000,2026-05-06 15:06:10+00:00,635.0,101.55,99.26,102.77,7.75,8.2622595,37.0,4013,0.3768983209228516,True,REGULAR,USD,call,2026-06-18,101.015,0.03474731475523428
SPY260618C00640000,2026-05-06 14:50:35+00:00,640.0,96.0,94.87,96.88,7.330002,8.266609,1.0,3177,0.34512983978271483,True,REGULAR,USD,call,2026-06-18,95.875,0.02096479791395036
SPY260618C00645000,2026-05-06 14:44:37+00:00,645.0,91.33,89.66,92.83,6.6100006,7.8021727,4.0,2660,0.3484562225341796,True,REGULAR,USD,call,2026-06-18,91.245,0.034741629678338555
SPY260618C00650000,2026-05-06 14:44:58+00:00,650.0,86.31,85.47,88.23,7.3099976,9.253161,119.0,6568,0.34058276611328125,True,REGULAR,USD,call,2026-06-18,86.85,0.03177892918825567
SPY260618C00655000,2026-05-06 14:44:09+00:00,655.0,81.81,80.41,83.44,8.75,11.976459,2.0,4283,0.3290777542114257,True,REGULAR,USD,call,2026-06-18,81.925,0.03698504729935918
SPY260618C00660000,2026-05-06 14:45:37+00:00,660.0,76.87,75.61,77.21,7.040001,10.081628,12.0,13599,0.2933420275878905,True,REGULAR,USD,call,2026-06-18,76.41,0.02093966758277705
SPY260618C00661000,2026-05-01 16:25:12+00:00,661.0,67.75,74.72,77.69,0.0,0.0,1.0,9,0.31488722229003896,True,REGULAR,USD,call,2026-06-18,76.205,0.038973820615445166
SPY260618C00662000,2026-05-04 15:23:07+00:00,662.0,63.18,73.77,76.92,0.0,0.0,20.0,18,0.31546705047607415,True,REGULAR,USD,call,2026-06-18,75.345,0.04180768465060728
SPY260618C00663000,2026-05-04 16:55:19+00:00,663.0,60.8,72.81,75.85,0.0,0.0,1.0,0,0.3112861840820312,True,REGULAR,USD,call,2026-06-18,74.33,0.04089869500874468
SPY260618C00664000,2026-05-06 13:34:43+00:00,664.0,70.62,71.86,74.86,9.310001,15.185126,1.0,32,0.3083565258789062,True,REGULAR,USD,call,2026-06-18,73.36,0.04089422028353326
SPY260618C00665000,2026-05-06 15:14:55+00:00,665.0,72.3,70.91,73.68,5.800003,8.721809,12.0,13992,0.302466692199707,True,REGULAR,USD,call,2026-06-18,72.295,0.03831523618507518
SPY260618C00667000,2026-05-04 19:26:15+00:00,667.0,58.08,69.03,72.08,0.0,0.0,1.0,7,0.3024361749267578,True,REGULAR,USD,call,2026-06-18,70.555,0.043228686840053814
SPY260618C00668000,2026-05-05 15:50:39+00:00,668.0,61.99,68.09,71.09,0.0,0.0,1.0,4,0.2994759994506836,True,REGULAR,USD,call,2026-06-18,69.59,0.04310964218996982
SPY260618C00670000,2026-05-06 15:14:48+00:00,670.0,67.54,65.8,68.94,7.040001,11.636366,167.0,20133,0.29099219757080075,True,REGULAR,USD,call,2026-06-18,67.37,0.046608282618376136
SPY260618C00671000,2026-04-30 17:05:47+00:00,671.0,52.46,65.28,68.43,0.0,0.0,,23,0.29514254669189455,True,REGULAR,USD,call,2026-06-18,66.855,0.04711689477226842
SPY260618C00672000,2026-04-30 14:07:08+00:00,672.0,48.75,64.35,67.38,0.0,0.0,,6,0.2912668530273437,True,REGULAR,USD,call,2026-06-18,65.865,0.04600318833978595
SPY260618C00674000,2026-05-04 13:42:11+00:00,674.0,53.72,62.49,65.42,0.0,0.0,1.0,1,0.2854990884399413,True,REGULAR,USD,call,2026-06-18,63.955,0.04581346259088421
SPY260618C00675000,2026-05-06 14:24:15+00:00,675.0,61.43,62.89,64.31,3.4300003,5.9137936,4.0,19136,0.2807536524963378,True,REGULAR,USD,call,2026-06-18,63.6,0.02232704402515726
